file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,aeval_split,path
nterm_12_cex.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_12_cex.c_lasso_out,,,,,1.31,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_12_cex.c
Parallel_true-no-overflow_true-termination_true-valid-memsafety-modif.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Parallel_true-no-overflow_true-termination_true-valid-memsafety-modif.c_lasso_out,,,,,1.63,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Parallel_true-no-overflow_true-termination_true-valid-memsafety-modif.c
nonlin_mult_nonterm_2.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nonlin_mult_nonterm_2.c_lasso_out,,,,,1.31,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nonlin_mult_nonterm_2.c
Swingers_false-termination_true-no-overflow.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Swingers_false-termination_true-no-overflow.c_lasso_out,,,,,1.6,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Swingers_false-termination_true-no-overflow.c
Flip2_false-termination_true-no-overflow.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Flip2_false-termination_true-no-overflow.c_lasso_out,,,,,1.47,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Flip2_false-termination_true-no-overflow.c
MirrorIntervSim_false-termination_true-no-overflow.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/MirrorIntervSim_false-termination_true-no-overflow.c_lasso_out,,,,,1.4,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/MirrorIntervSim_false-termination_true-no-overflow.c
nterm_ever_12.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_ever_12.c_lasso_out,,,,,167.03,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_ever_12.c
nterm_ever_11.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_ever_11.c_lasso_out,,,,,169.04,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_ever_11.c
determ_nterm_4.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/determ_nterm_4.c_lasso_out,,,,,1.68,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/determ_nterm_4.c
DoubleNeg_false-no-overflow_false-termination.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/DoubleNeg_false-no-overflow_false-termination.c_lasso_out,,,,,1.31,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/DoubleNeg_false-no-overflow_false-termination.c
Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-broken.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-broken.c_lasso_out,,,,,1.51,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-broken.c
Swingers_false-termination_true-no-overflow-version-2.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Swingers_false-termination_true-no-overflow-version-2.c_lasso_out,,,,,1.5,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Swingers_false-termination_true-no-overflow-version-2.c
Sunset_false-termination_true-no-overflow.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Sunset_false-termination_true-no-overflow.c_lasso_out,,,,,1.89,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Sunset_false-termination_true-no-overflow.c
PastaC10_false-no-overflow_false-termination.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/PastaC10_false-no-overflow_false-termination.c_lasso_out,,,,,1.41,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/PastaC10_false-no-overflow_false-termination.c
