pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
629713165,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,17270681,UltimateAutomizer2023,47463,default,790100,complete,29.824058,14.289312339853495,0.0,YES
629713416,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c,17270927,AProVE23,45560,c,749009,complete,41.586664,23.54188087512739,0.0,YES
629713100,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,17270615,AProVE23,45560,c,749009,complete,26.660779,7.981212767073885,0.0,YES
629713101,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,17270615,UltimateAutomizer2023,47463,default,790100,complete,24.114317,9.94649728690274,0.0,YES
629713136,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,17270652,AProVE23,45560,c,749009,complete,9.680589,3.260306253796444,0.0,YES
629713137,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,17270652,UltimateAutomizer2023,47463,default,790100,complete,20.883091,9.10814969521016,0.0,YES
629713280,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,17270796,AProVE23,45560,c,749009,complete,61.759586,23.296832184074447,0.0,YES
629713281,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,17270796,UltimateAutomizer2023,47463,default,790100,complete,40.076687,24.489561760099605,0.0,YES
629713636,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,17271147,AProVE23,45560,c,749009,complete,32.353369,9.694891494931651,0.0,YES
629713637,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,17271147,UltimateAutomizer2023,47463,default,790100,complete,22.78566,9.511707504978403,0.0,YES
629713452,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c,17270963,AProVE23,45560,c,749009,complete,54.064485,24.22556844097562,0.0,YES
629713453,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random2d_true-termination.c,17270963,UltimateAutomizer2023,47463,default,790100,complete,22.620329,11.41357568791136,0.0,YES
629713076,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,17270591,AProVE23,45560,c,749009,complete,43.828533,25.538736623013392,0.0,YES
629713077,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,17270591,UltimateAutomizer2023,47463,default,790100,complete,27.128552,14.122196084121242,0.0,YES
629713474,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,17270984,AProVE23,45560,c,749009,complete,15.736256,4.951502614188939,0.0,YES
629713475,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,17270984,UltimateAutomizer2023,47463,default,790100,complete,25.618207,11.184682852821425,0.0,YES
629713156,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c,17270673,AProVE23,45560,c,749009,complete,15.467266,5.115975708002225,0.0,YES
629713157,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi2_true-termination.c,17270673,UltimateAutomizer2023,47463,default,790100,complete,24.439961,13.965953944949431,0.0,YES
629713554,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,17271065,AProVE23,45560,c,749009,complete,25.597586,8.036143661942333,0.0,YES
