file,depth,terminating,mode,svmranker_time,ranking_function,llm_run_time
ChenFlurMukhopadhyay-SAS2012-Ex2.07,1,TERMINATE,1-nested,0.820955,- 0.5 *  x0^1.0 + 0.4 *  x1^1.0 + 1.2 * 1,6.7828
ChenFlurMukhopadhyay-SAS2012-Ex2.08,2,TERMINATE,1-nested,0.91916,- 1.0 *  x1^1.0 + 1.0 * 1; 0.5 *  x0^1.0 + 0.7 * 1,6.1567
ChenFlurMukhopadhyay-SAS2012-Ex2.10,1,TERMINATE,4-nested,0.769633,0.9 *  x0^1.0 + 0.7 * 1,7.0172
ChenFlurMukhopadhyay-SAS2012-Ex2.11,0,UNKNOWN,4-nested,1.820519,,9.7792
ChenFlurMukhopadhyay-SAS2012-Ex2.12,0,NONTERM,1-nested,0.817457,,6.739
ChenFlurMukhopadhyay-SAS2012-Ex2.13,2,TERMINATE,4-nested,0.917648,- 1.0 *  x1^1.0; 1.0 *  x0^1.0 - 1.0 *  x1^1.0 + 1.0 * 1,9.5251
ChenFlurMukhopadhyay-SAS2012-Ex2.14,0,NONTERM,1-nested,0.820134,,9.3558
ChenFlurMukhopadhyay-SAS2012-Ex2.15,0,NONTERM,1-nested,0.768941,,9.2528
ChenFlurMukhopadhyay-SAS2012-Ex2.16,2,TERMINATE,1-nested,0.919759,1.0 *  x1^1.0 + 1.0 * 1; 1.0 *  x0^1.0 + 1.0 * 1,5.9463
ChenFlurMukhopadhyay-SAS2012-Ex3.02,0,NONTERM,1-nested,0.767437,,7.0581
ChenFlurMukhopadhyay-SAS2012-Ex3.03,0,UNKNOWN,1-nested,1.022835,,6.699
ChenFlurMukhopadhyay-SAS2012-Ex3.04,2,TERMINATE,1-nested,0.9175,- 0.9 *  x0^1.0 - 0.9 *  x1^1.0 + 1.0 * 1; - 0.9 *  x0^1.0 + 0.9 *  x[2]^1.0 + 1.0 * 1,8.8292
ChenFlurMukhopadhyay-SAS2012-Ex3.05,2,TERMINATE,1-nested,0.919724,- 0.9 *  x1^1.0 + 0.1 *  x[2]^1.0 + 0.9 * 1; - 0.9 *  x0^1.0 + 0.9 *  x[2]^1.0 + 1.0 * 1,8.8906
ColonSipma-TACAS2001-Fig1,0,UNKNOWN,1-nested,1.120636,,9.0131
ComplInterv_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.919176,,9.506
ConvLower,0,NONTERM,1-nested,0.818174,,7.7195
CookSeeZuleger-TACAS2013-Fig1,,,4-multi,0.820004,,6.9451
CookSeeZuleger-TACAS2013-Fig8a-modified,0,UNKNOWN,4-nested,2.024781,,11.0566
CookSeeZuleger-TACAS2013-Fig8a,3,TERMINATE,4-nested,1.218894,0.2 *  x0^2.0; 0.1 * 1; 0.2 *  x0^2.0,10.6109
CookSeeZuleger-TACAS2013-Fig8b,0,NONTERM,4-multi,0.81777,,13.4918
Copenhagen,1,TERMINATE,1-nested,0.818791,0.5 *  x0^1.0 + 0.5 *  x1^1.0 + 0.9 * 1,7.9255
Copenhagen_disj-1,0,UNKNOWN,1-nested,1.067216,,7.8127
Cousot_false-no-overflow_false-termination,0,UNKNOWN,1-nested,1.071855,,5.7641
DoubleNeg_false-no-overflow_false-termination,,,4-nested,5.576093,,13.084
Even_false-no-overflow_false-termination,0,UNKNOWN,1-nested,1.019317,,6.9991
Ex01_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.921704,,10.8311
Ex02,0,NONTERM,1-nested,0.816564,,6.7927
Ex04_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.919257,,8.5134
Ex07,0,NONTERM,1-nested,0.819217,,7.0261
GulavaniGulwani-CAV2008-Fig1c,1,TERMINATE,4-nested,0.82121,- 0.9 *  x0^1.0 + 0.9 *  x[2]^1.0 + 0.7 * 1,10.4113
Hanoi_2vars,0,UNKNOWN,1-nested,0.971955,,5.5988
Hanoi_3vars,0,UNKNOWN,1-nested,0.968464,,6.8219
Hanoi_plus,0,UNKNOWN,1-nested,1.019521,,5.7743
LeikeHeizmann-TACAS2014-Ex1,1,TERMINATE,1-nested,0.817735,0.9 *  x0^1.0 + 0.7 * 1,10.0197
LeikeHeizmann-TACAS2014-Ex9,1,TERMINATE,4-nested,0.816145,1.0 *  x0^1.0 + 1.0 *  x1^1.0 + 0.7 * 1,9.9292
LeikeHeizmann-TACAS2014-Fig1,2,TERMINATE,1-nested,0.919155,- 1.0 *  x1^1.0 + 0.9 * 1; 1.0 *  x0^1.0 + 0.7 * 1,10.0423
LeikeHeizmann-WST2014-Ex5,0,UNKNOWN,1-nested,1.122138,,8.0258
LeikeHeizmann-WST2014-Ex6,0,UNKNOWN,1-nested,0.921266,,5.8104
Marbie1_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.919763,,6.0122
Marbie2_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.922122,,7.0997
Masse-VMCAI2014-Ex6,0,UNKNOWN,1-nested,0.968902,,6.8796
Middle_false-no-overflow_false-termination,0,UNKNOWN,1-nested,1.017016,,7.4992
NonTermination1,0,UNKNOWN,1-nested,0.918358,,7.009
NonTerminationSimple2,0,UNKNOWN,1-nested,0.869795,,7.4709
NonTerminationSimple3,0,NONTERM,1-nested,0.820638,,7.9382
Overflow_false-no-overflow_true-termination,0,UNKNOWN,4-nested,1.669486,,10.6473
PastaA10,0,UNKNOWN,4-nested,1.971994,,9.4843
PastaA4,1,TERMINATE,1-nested,0.817476,1.0 *  x0^1.0 - 1.0 *  x1^1.0 + 1.0 * 1,6.4627
PastaA5_false-no-overflow_true-termination,1,TERMINATE,1-nested,0.868972,1.0 *  x0^1.0 - 1.0 *  x1^1.0 + 1.0 * 1,8.461
PastaA6_false-no-overflow_true-termination,1,TERMINATE,4-nested,0.819344,0.5 *  x0^1.0 - 0.5 *  x1^1.0 - 0.5 *  x[2]^1.0 + 0.7 * 1,9.6781
PastaA7,0,UNKNOWN,1-nested,1.070641,,7.3825
PastaA8_false-no-overflow_true-termination,1,TERMINATE,4-nested,0.820973,0.9 *  x0^1.0 - 0.9 *  x1^1.0 + 0.7 * 1,11.9027
PastaB1,1,TERMINATE,1-nested,0.869115,0.7465 *  x0^1.0 - 0.7465 *  x1^1.0 + 0.2393 * 1,7.0243
PastaB11_false-no-overflow_true-termination,1,TERMINATE,4-nested,0.820765,1.0 *  x0^1.0 + 1.0 *  x1^1.0 + 0.7 * 1,7.5512
PastaB2,1,TERMINATE,4-nested,0.817928,0.5 *  x0^1.0 - 0.5 *  x1^1.0 + 0.7 * 1,10.6839
PastaB4,1,TERMINATE,4-nested,0.820204,0.5 *  x0^1.0 - 0.5 *  x1^1.0 + 0.7 * 1,8.4579
PastaB6,1,TERMINATE,4-nested,0.869939,0.5 *  x0^1.0 + 0.5 *  x1^1.0 + 0.7 * 1,8.3088
PastaB7,0,UNKNOWN,4-nested,2.171628,,11.0578
PastaC3,0,UNKNOWN,1-nested,1.018084,,7.7907
PastaC7,1,TERMINATE,4-nested,0.819188,- 0.5 *  x1^1.0 + 0.5 *  x[2]^1.0 + 0.7 * 1,12.177
PastaC7_false-no-overflow,1,TERMINATE,1-nested,0.818141,- 0.5 *  x1^1.0 + 0.5 *  x[2]^1.0 + 1.0 * 1,7.4967
PodelskiRybalchenko-TACAS2011-Fig1,1,TERMINATE,4-nested,0.818703,1.0 *  x0^1.0 + 0.8 * 1,11.8807
Sunset,0,UNKNOWN,1-nested,0.918333,,6.5103
TrueDiv_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.967704,,6.2444
TwoFloatInterv,0,UNKNOWN,1-nested,0.767955,,8.7084
Urban-WST2013-Fig1,0,NONTERM,1-nested,0.820457,,8.2299
Waldkirch,1,TERMINATE,1-nested,0.819539,1.0 *  x0^1.0 + 0.8 * 1,5.8298
WhileDecr,1,TERMINATE,4-nested,0.81677,1.0 *  x0^1.0 + 0.7 * 1,11.2939
WhileIncrPart_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.922391,,9.8018
WhileIncr_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.919833,,6.5888
WhilePart,0,NONTERM,1-nested,0.766647,,8.3128
WhileSingle,0,NONTERM,1-nested,0.773022,,7.4949
WhileTrueInc_false-no-overflow_false-termination,0,UNKNOWN,1-nested,0.968502,,6.6322
