config,file_name,benchmark_name,generated,extraction_success,invariants_found,template_type,verified
Full (Inv + Extract),Copenhagen_disj_true_version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Copenhagen_disj_true_version,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),Copenhagen_true-no-overflow_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Copenhagen_true-no-overflow_true-termination_true-valid-memsafety,True,False,True,lnested,TERMINATE
Full (Inv + Extract),determ_term_1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,determ_term_1,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),determ_term_2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,determ_term_2,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),determ_term_3_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,determ_term_3,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),determ_term_4_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,determ_term_4,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),determ_term_5_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,determ_term_5,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),determ_term_6_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,determ_term_6,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),determ_term_7_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,determ_term_7,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),determ_term_8_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,determ_term_8,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),eca_bounded_core_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,eca_bounded_core,True,False,True,lnested,ERROR
Full (Inv + Extract),Et1_false-no-overflow_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Et1_false-no-overflow_true-termination,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ex1_false-no-overflow_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ex1_false-no-overflow_true-termination,True,False,True,lnested,TERMINATE
Full (Inv + Extract),for_bounded_loop1_false-unreach-call_true-termination-simplified_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,for_bounded_loop1_false-unreach-call_true-termination-simplified,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),genady_true-termination_true-no-overflow-version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,genady_true-termination_true-no-overflow-version,True,False,True,lnested,TERMINATE
Full (Inv + Extract),genady_true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,genady_true-termination_true-no-overflow,True,False,True,lnested,TERMINATE
Full (Inv + Extract),Gothenburg_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Gothenburg_false-no-overflow,True,False,True,lmulti,UNKNOWN
Full (Inv + Extract),Gothenburg_v2_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Gothenburg_v2_false-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),Gothenburg_v3_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Gothenburg_v3_false-no-overflow,True,False,True,lmulti,UNKNOWN
Full (Inv + Extract),Gothenburg_v4_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Gothenburg_v4_false-no-overflow,True,False,True,lnested,N/A
Full (Inv + Extract),GulavaniGulwani-CAV2008-Fig1a_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,GulavaniGulwani-CAV2008-Fig1a_true-termination,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version1,True,False,True,lnested,NONTERM
Full (Inv + Extract),GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version2,True,False,True,lmulti,NONTERM
Full (Inv + Extract),GulwaniJainKoskinen-PLDI2009-Fig1_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,GulwaniJainKoskinen-PLDI2009-Fig1_true-termination,True,False,True,lnested,NONTERM
Full (Inv + Extract),HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination-version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination-version,True,False,True,lnested,NONTERM
Full (Inv + Extract),HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination,True,False,True,lnested,NONTERM
Full (Inv + Extract),HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow-version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow-version,True,False,True,lnested,NONTERM
Full (Inv + Extract),HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow,True,False,True,lnested,NONTERM
Full (Inv + Extract),HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination-version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination-version,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination-version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination-version,True,False,True,lnested,NONTERM
Full (Inv + Extract),HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),java_AG313_true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,java_AG313_true-termination_true-no-overflow,True,False,True,lnested,TERMINATE
Full (Inv + Extract),Lobnya-Boolean-Reordered_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Lobnya-Boolean-Reordered_true-termination_true-valid-memsafety,True,False,True,lnested,UNKNOWN
