file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,path
"AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c_lasso_out",,"","None","",2.68,0.00,"Datasets/aeval/c_bench_term/AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.c"
"ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow.c_lasso_out",,"","None","",1.82,0.00,"Datasets/aeval/c_bench_term/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow.c"
"Masse-VMCAI2014-Fig1a_true-termination.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Masse-VMCAI2014-Fig1a_true-termination.c_lasso_out",,"","None","",1.56,0.00,"Datasets/aeval/c_bench_term/Masse-VMCAI2014-Fig1a_true-termination.c"
"HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c_lasso_out",,"","None","",1.42,0.00,"Datasets/aeval/c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c"
"Copenhagen_disj_true-termination_true-valid-memsafety.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Copenhagen_disj_true-termination_true-valid-memsafety.c_lasso_out",,"","None","",288.59,0.00,"Datasets/aeval/c_bench_term/Copenhagen_disj_true-termination_true-valid-memsafety.c"
"Masse-VMCAI2014-Fig1b_true-termination.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Masse-VMCAI2014-Fig1b_true-termination.c_lasso_out",,"","None","",1.53,0.00,"Datasets/aeval/c_bench_term/Masse-VMCAI2014-Fig1b_true-termination.c"
"ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c_lasso_out",,"","None","",1.51,0.00,"Datasets/aeval/c_bench_term/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c"
"GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c",FAILED,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c_lasso_out",,"","None","",306.52,0.00,"Datasets/aeval/c_bench_term/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c"
"HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c_lasso_out",,"","None","",5.53,0.00,"Datasets/aeval/c_bench_term/HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c"
"nonlin_mod_term_2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nonlin_mod_term_2.c_lasso_out",,"","None","",1.44,0.00,"Datasets/aeval/c_bench_term/nonlin_mod_term_2.c"
