file,result_2ls_TPDB_copy1,time_taken_2ls_TPDB_copy1,result_2ls_TPDB_copy2,time_taken_2ls_TPDB_copy2,result_2ls_TPDB_copy3,time_taken_2ls_TPDB_copy3,consistency
TPDB_Y2024_filtered_VBS/Stroeder_15/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c,Maybe,1.44,Maybe,1.21,Maybe,1.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,Maybe,0.42,Maybe,0.4,Maybe,0.44,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_ex3a.c,YES,0.23,YES,0.24,YES,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Middle.c,Maybe,6.63,Maybe,7.05,Maybe,6.48,True
TPDB_Y2024_filtered_VBS/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,Maybe,0.58,Maybe,0.74,Maybe,0.59,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AlternKonv.c,Maybe,0.61,Maybe,0.35,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.06.c,YES,0.27,YES,0.49,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Benghazi_true-termination.c,TIMEOUT,300.11,TIMEOUT,300.12,TIMEOUT,300.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB16.c,YES,0.2,YES,0.19,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Cairo_true-termination.c,Maybe,0.36,Maybe,0.36,Maybe,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_java_Break.c,YES,0.21,YES,0.21,YES,0.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AlternDivWidening.c,Maybe,0.61,Maybe,0.61,Maybe,0.44,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.09_assume.c,YES,0.22,YES,0.23,YES,0.16,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Loop.c,Maybe,0.14,Maybe,0.13,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple8_false-termination.c,Maybe,0.35,Maybe,0.34,Maybe,0.25,True
TPDB_Y2024_filtered_VBS/Stroeder_15/MinusUserDefined.c,Maybe,0.64,Maybe,0.66,Maybe,0.45,True
TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c,YES,0.18,YES,0.19,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA6.c,Maybe,6.8,Maybe,6.83,Maybe,6.29,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Marbie1.c,Maybe,0.38,Maybe,0.38,Maybe,0.37,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Et1.c,Maybe,0.86,Maybe,0.86,Maybe,0.59,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_22.c,Maybe,0.13,Maybe,0.1,Maybe,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.18_true-termination.c,Maybe,2.09,Maybe,2.44,Maybe,2.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex03.c,Maybe,0.15,Maybe,0.12,Maybe,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ComplInterv2.c,Maybe,0.11,Maybe,0.11,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.07.c,YES,0.19,YES,0.19,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/min_rf_true-termination.c,Maybe,1.69,Maybe,1.17,Maybe,1.71,True
TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig1_true-termination.c,YES,0.14,YES,0.16,YES,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c,YES,0.17,YES,0.13,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.01.c,YES,0.15,YES,0.16,YES,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,YES,0.24,YES,0.18,YES,0.18,True
