file,result,error,time_taken,timestamp
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c",Maybe,"",9.23, 06:00:19
"TPDB_Y2024_filtered_VBS/Stroeder_15/GCD2.c",Maybe,"",0.80, 06:00:20
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC3.c",YES,"",0.24, 06:00:20
"TPDB_Y2024_filtered_VBS/Stroeder_15/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c",Maybe,"",0.54, 06:00:21
"TPDB_Y2024_filtered_VBS/Stroeder_15/ConvLower.c",Maybe,"",0.10, 06:00:21
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c",Maybe,"",0.16, 06:00:21
"TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c",Maybe,"",75.77, 06:01:37
"TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB14.c",YES,"",0.41, 06:01:37
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.08.c",YES,"",0.24, 06:01:38
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.21_true-termination.c",YES,"",0.23, 06:01:38
"TPDB_Y2024_filtered_VBS/Stroeder_15/McCarthyIterative.c",YES,"",0.14, 06:01:38
"TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.07.c",YES,"",0.24, 06:01:38
"TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c",Maybe,"",4.66, 06:01:43
"TPDB_Y2024_filtered_VBS/Stroeder_15/AlternDivWide.c",Maybe,"",0.26, 06:01:43
