file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,failed,Failed,Terminate,0.53,Terminate,2.187636614,Terminate,4.88,Terminate,3.42,Terminate,2.28,Terminate,2.7,Terminate,Terminate,Terminate,Terminate,Terminate,4.05,Terminate,Linear,1,1,1,False,False,True,False,False,33,C,loop,,False,True,True
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,failed,Failed,Unknown,0.83,Terminate,1.605215311,Terminate,2.81,Terminate,3.27,Terminate,1.71,Terminate,1.48,Terminate,Terminate,Terminate,Terminate,Terminate,3.88,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,,False,True,True
svcomp_a.09_assume-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.471039534,Unknown,3.91,Unknown,4.16,Unknown,2.45,Nonterminate,1.75,Terminate,Terminate,Terminate,Terminate,Terminate,4.25,Unknown,Linear,1,1,2,False,False,True,False,True,29,C,loop,,False,False,False
CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,Unknown,Unknown,Terminate,0.36,Terminate,102.230557,Terminate,4.41,Terminate,6.1,Terminate,2.32,Terminate,2.45,Terminate,Terminate,Terminate,timeout,Terminate,5.38,Terminate,Linear,1,1,3,False,False,True,False,True,28,C,loop,,False,True,True
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,Unknown,Unknown,Unknown,2.26,Terminate,8.775921345,Terminate,2.72,Terminate,4.94,Terminate,1.61,Nonterminate,1.31,Terminate,Terminate,Terminate,Terminate,Terminate,3.92,Terminate,Linear,1,1,5,False,False,True,False,True,31,C,loop,,False,True,True
svcomp_a.06-alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.483912468,Unknown,3.79,Unknown,4.78,Unknown,2.53,Unknown,289.06,Terminate,Terminate,Terminate,Terminate,Terminate,4.23,Unknown,Linear,1,1,3,False,False,True,False,True,25,C,loop,,False,False,False
PastaB7.c,Unknown,Unknown,Terminate,0.11,Terminate,1.312035322,Terminate,2.91,Terminate,3.56,Terminate,1.41,Terminate,1.47,Terminate,Terminate,Terminate,Terminate,Terminate,3.75,Terminate,Linear,1,1,3,False,False,True,False,True,19,C,loop,,False,True,True
svcomp_b.06.c,Unknown,Unknown,Terminate,0.27,Terminate,1.271632433,Terminate,2.79,Terminate,3.58,Terminate,1.41,Terminate,1.54,Terminate,Terminate,Terminate,Terminate,Terminate,3.81,Terminate,Linear,1,1,1,False,False,True,False,True,16,C,loop,,False,True,True
svcomp_fermat.c,Unknown,Unknown,Terminate,0.7,Terminate,20.46997285,Failed,284.5,Failed,285.24,TIMEOUT,310.07,Unknown,193.11,Terminate,Terminate,Terminate,timeout,Terminate,262.25,Unknown,Linear,1,1,0,True,True,True,False,True,26,C,loop,,False,False,False
AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,Unknown,Unknown,Unknown,6.62,Terminate,2.238676071,Terminate,2.65,Terminate,3.24,Terminate,1.6,Terminate,1.74,Terminate,Terminate,Terminate,Terminate,Terminate,3.67,Terminate,Linear,1,1,2,False,False,True,False,False,25,C,loop,,False,True,True
MinusBuiltIn.c,Unknown,Unknown,Unknown,0.47,Terminate,1.513674021,Terminate,2.83,Terminate,2.75,Terminate,1.37,Terminate,1.48,Terminate,Terminate,Terminate,Terminate,Terminate,3.88,Terminate,Linear,1,1,2,False,False,True,False,False,20,C,loop,,False,True,True
svcomp_a.04-alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.475569725,Unknown,3.53,Unknown,3.37,Unknown,1.81,Unknown,291.72,Terminate,Terminate,Terminate,Terminate,Terminate,4.06,Unknown,Linear,1,1,2,False,False,True,False,True,22,C,loop,,False,False,False
4BitCounterPointer_true-termination.c,failed,Failed,Failed,0.24,Failed,0.336890697,Unknown,4.64,Unknown,4.62,Unknown,2.5,Unknown,283.64,Terminate,Terminate,Terminate,Terminate,Terminate,7.93,Unknown,Linear,1,1,1,False,False,True,False,True,35,C,loop,,False,False,False
PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c,failed,Failed,Unknown,75.77,Terminate,19.37530518,Terminate,5.26,Terminate,6.06,Terminate,2.47,Terminate,2.7,Terminate,Terminate,Terminate,Terminate,TIMEOUT,300.08,Terminate,Linear,1,1,2,False,False,True,False,True,33,C,loop,,False,True,True
easy1_true-termination.c,Unknown,Unknown,Terminate,0.17,Terminate,1.058041096,Terminate,3.51,Terminate,3.88,Terminate,1.62,Terminate,1.52,Terminate,Terminate,Terminate,Terminate,Terminate,6.08,Terminate,Linear,1,1,1,False,False,True,False,False,28,C,loop,,False,True,True
aaron2_true-termination.c,Unknown,Unknown,Unknown,0.32,Terminate,0.931140184,Terminate,2.96,Terminate,3.44,Terminate,1.42,Terminate,1.24,Terminate,Terminate,Terminate,Terminate,Terminate,3.79,Terminate,Linear,1,1,3,False,False,True,False,True,24,C,loop,,False,True,True
DivMinus.c,Unknown,Unknown,Terminate,0.29,Terminate,1.56734252,Unknown,2.96,Unknown,3.23,Unknown,1.34,Unknown,264.61,Terminate,Terminate,Terminate,Terminate,Terminate,3.88,Unknown,Linear,1,1,2,False,False,True,False,True,19,C,loop,,False,False,False
