file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c,failed,Failed,Terminate,3.52,Terminate,1.966259956,Unknown,2.88,Unknown,3.13,Unknown,1.39,Unknown,288.93,Terminate,Terminate,Terminate,Terminate,Terminate,3.82,Unknown,Linear,1,1,1,True,False,True,False,False,32,C,loop,,False,False,False
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,failed,Failed,Terminate,0.22,Terminate,1.846493959,Terminate,3.54,Terminate,4.02,Terminate,1.64,Terminate,2.02,Terminate,Terminate,Terminate,Terminate,Terminate,4.41,Terminate,Nested,2,2,2,False,False,True,False,False,22,C,loop,,False,True,True
svcomp_cstrpbrk_true_alloca.c,failed,"ERROR,UNKNOWN",Failed,0.25,Failed,0.345362425,Unknown,3.91,Unknown,4.16,Unknown,1.81,Unknown,265.36,Terminate,Unknown,Terminate,timeout,Unknown,11.08,Unknown,Nested,2,2,3,False,False,True,True,True,43,C,loop,,False,False,False
Log.c,Unknown,Unknown,Terminate,0.54,Terminate,2.274074793,Terminate,3.62,Terminate,4.27,Terminate,1.7,Terminate,2.03,Terminate,Terminate,Terminate,Terminate,Terminate,4.34,Terminate,Nested,2,2,2,False,False,True,False,False,28,C,loop,,False,True,True
svcomp_b.17-alloca.c,failed,Failed,Failed,0.24,Failed,0.341404438,Unknown,5.53,Unknown,7.2,Unknown,3.02,Nonterminate,1.41,Terminate,timeout,Terminate,Terminate,Terminate,30.24,Unknown,Nested,2,2,3,False,False,True,False,True,28,C,loop,,False,False,False
PastaA1.c,Unknown,Unknown,Terminate,0.26,Terminate,1.281229734,Terminate,3.11,Terminate,3.6,Terminate,1.56,Terminate,1.63,Terminate,Terminate,Terminate,Terminate,Terminate,4.48,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,,False,True,True
svcomp_substring_alloca.c,failed,Failed,Failed,0.25,Failed,0.353551149,Unknown,3.93,Unknown,3.98,Unknown,1.76,Unknown,266.08,Terminate,Unknown,Terminate,timeout,Unknown,12.28,Unknown,Nested,2,2,3,False,False,True,True,True,35,C,loop,,False,False,False
svcomp_a.01-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.474827528,Unknown,3.56,Unknown,3.8,Unknown,2.11,Unknown,288.34,Terminate,timeout,Terminate,Terminate,Terminate,101.73,Unknown,Nested,2,2,2,False,False,True,False,True,26,C,loop,,False,False,False
svcomp_c.01-no-inv.c,Unknown,Unknown,Unknown,0.93,Unknown,5.683444262,Terminate,2.95,Terminate,3.51,Terminate,1.66,Terminate,1.98,Terminate,Terminate,Terminate,Terminate,Terminate,4.8,Terminate,Nested,2,2,2,False,False,True,False,True,19,C,loop,,False,True,True
svcomp_java_Break.c,failed,Failed,Terminate,0.21,Terminate,1.033479452,Terminate,7.76,Terminate,6.35,Terminate,3.92,Terminate,1.27,Terminate,Terminate,Terminate,Terminate,Terminate,3.78,Terminate,Linear,1,1,0,True,True,True,False,False,10,C,loop,,False,True,True
majority-noarray_true-termination.c,failed,Failed,Unknown,60.54,Failed,300.0,Nonterminate,25.81,Failed,28.01,Nonterminate,13.61,Nonterminate,2.41,Unknown,Terminate,Unknown,Terminate,Terminate,10.8,Nonterminate,Nested,5,2,2,True,True,True,False,True,460,C,loop,,False,False,False
GopanReps-CAV2006-Fig1a_true-termination.c.c,failed,Failed,Unknown,0.5,Terminate,1.477930307,Unknown,275.24,Unknown,277.45,Unknown,290.6,Terminate,2.39,Terminate,Terminate,Terminate,Terminate,Terminate,4.57,Unknown,Linear,1,1,0,True,True,True,False,False,24,C,loop,,False,False,False
PastaC2.c,failed,Failed,Unknown,0.46,Terminate,2.747471571,Terminate,3.6,Terminate,4.05,Terminate,1.64,Terminate,1.97,Terminate,Terminate,Terminate,Terminate,Terminate,4.34,Terminate,Nested,2,2,2,False,False,True,False,False,20,C,loop,,False,True,True
gcd1_true-termination.c,failed,Failed,Terminate,0.45,Terminate,2.763065338,Unknown,3.45,Unknown,3.63,Unknown,1.6,Unknown,275.34,Terminate,Terminate,Terminate,Terminate,Terminate,5.28,Unknown,Nested,2,2,2,False,False,True,False,False,39,C,loop,,False,False,False
svcomp_b.15-alloca.c,failed,Failed,Failed,0.2,Failed,0.462046862,Unknown,5.55,Unknown,5.83,Unknown,3.05,Unknown,262.61,Terminate,Terminate,Terminate,Terminate,Terminate,5.64,Unknown,Nested,2,2,3,False,False,True,False,True,27,C,loop,,False,False,False
svcomp_stroeder2_alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.350580692,Unknown,3.46,Unknown,3.64,Unknown,1.6,Unknown,267.23,Terminate,Unknown,Terminate,timeout,Terminate,4.81,Unknown,Nested,2,2,3,False,False,True,True,True,28,C,loop,,False,False,False
svcomp_Urban-2013WST-Fig2-modified1000_true-alloca.c,Unknown,Unknown,Failed,0.2,Failed,0.475070477,Unknown,274.87,Unknown,273.73,Unknown,291.49,Unknown,145.56,Terminate,timeout,Terminate,Terminate,TIMEOUT,300.04,Unknown,Nested,2,2,2,False,False,True,False,True,13,C,loop,,False,False,False
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c,failed,Failed,Failed,0.21,Terminate,10.76107049,Unknown,23.05,Failed,295.34,Unknown,10.37,Unknown,263.06,Terminate,timeout,Terminate,timeout,Terminate,9.79,Unknown,Nested,3,2,3,False,False,True,False,True,26,C,loop,,False,False,False
svcomp_c.02.c,failed,Failed,Terminate,0.43,Terminate,4.060259342,Terminate,3.68,Terminate,3.97,Terminate,1.69,Terminate,2.01,Terminate,Terminate,Terminate,Terminate,Terminate,4.12,Terminate,Nested,2,2,2,False,False,True,False,False,20,C,loop,,False,True,True
GCD4.c,Unknown,Unknown,Terminate,0.52,Terminate,2.112157583,Unknown,3.5,Unknown,3.8,Unknown,1.56,Unknown,278.96,Terminate,Terminate,Terminate,Terminate,Terminate,5.3,Unknown,Nested,2,2,3,False,False,True,False,True,26,C,loop,,False,False,False
