file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
svcomp_EvenOdd01_true-unreach-call_true-termination_modified.c,,,Failed,300.03,Failed,0.440772057,Unknown,1.82,Failed,1.96,Failed,0.43,Failed,0.39,Terminate,Terminate,Terminate,Failed,Terminate,4.92,Unknown,,0,0,0,False,False,True,False,False,48,C,recur,non-tail,False,False,False
McCarthy91_Recursion_true-termination.c,,,Terminate,0.16,Failed,0.442765951,Unknown,2.07,Failed,2.15,Failed,0.42,Failed,0.41,Unknown,Terminate,Unknown,Failed,Terminate,7.16,Unknown,,0,0,0,False,False,True,False,False,17,C,recur,non-tail,False,False,False
svcomp_Addition01_true-unreach-call_true-termination_modified.c,,,Terminate,0.3,Failed,0.319576979,Unknown,2.13,Failed,2.15,Failed,0.4,Failed,0.42,Terminate,Terminate,Terminate,Terminate,Terminate,4.8,Unknown,,0,0,0,False,False,True,False,False,37,C,recur,tail,False,False,False
LeeJonesBen-Amram-POPL2001-Ex4_true-termination.c,,,Terminate,0.41,Failed,0.442892551,Unknown,2.13,Failed,2.22,Failed,0.42,Failed,0.39,Terminate,Terminate,Terminate,Terminate,Terminate,7.31,Unknown,,0,0,0,False,False,True,False,True,32,C,recur,non-tail,False,False,False
Et2_true.c,,,Terminate,0.26,Failed,0.433559418,Unknown,2.19,Failed,2.17,Failed,0.42,Failed,0.43,Terminate,Terminate,Terminate,Terminate,Terminate,4.49,Unknown,,0,0,0,False,False,True,False,False,45,C,recur,non-tail,False,False,False
svcomp_MultCommutative_true-unreach-call_true-termination_modified.c,,,Failed,300.03,Failed,0.445040703,Unknown,2.12,Failed,2.2,Failed,0.42,Failed,0.39,Terminate,Terminate,Terminate,Terminate,Terminate,5.04,Unknown,,0,0,0,False,False,True,False,False,42,C,recur,non-tail,False,False,False
McCarthy91_false-unreach-call_false-termination.c,,,Terminate,0.17,Failed,0.326910973,Unknown,2.05,Failed,2.12,Failed,0.38,Failed,0.42,Unknown,MAYBE,timeout,Failed,Terminate,7.72,Unknown,,0,0,0,False,False,True,False,True,32,C,recur,non-tail,False,False,False
svcomp_gcd01_true-unreach-call_true-termination_modified.c,,,Terminate,0.25,Failed,0.449056149,Unknown,2.14,Failed,2.21,Failed,0.4,Failed,0.44,Terminate,Terminate,Terminate,Terminate,Terminate,4.77,Unknown,,0,0,0,False,False,True,False,True,43,C,recur,non-tail,False,False,False
Addition01_true-unreach-call_true-termination.c,,,Terminate,0.34,Failed,0.32468152,Unknown,2.14,Failed,2.27,Failed,0.4,Failed,0.37,Terminate,Terminate,Terminate,Terminate,Terminate,4.53,Unknown,,0,0,0,False,False,True,False,False,41,C,recur,tail,False,False,False
rec_strlen.c,,,Failed,0.25,Failed,0.34373188,Unknown,2.48,Failed,2.61,Failed,0.4,Failed,0.38,Terminate,Unknown,Terminate,timeout,Unknown,7.88,Unknown,,0,0,0,False,False,True,True,True,21,C,recur,non-tail,False,False,False
LeUserDefRec_true.c,,,Terminate,0.28,Failed,0.447752714,Unknown,1.84,Failed,1.85,Failed,0.41,Failed,0.39,Terminate,Terminate,Terminate,Terminate,Terminate,3.77,Unknown,,0,0,0,False,False,True,False,True,47,C,recur,non-tail,False,False,False
Avg_true.c,,,Terminate,0.28,Failed,0.446409941,Unknown,2.16,Failed,2.18,Failed,0.39,Failed,0.38,Terminate,Terminate,Terminate,Terminate,Terminate,5.04,Unknown,,0,0,0,False,False,True,False,False,50,C,recur,non-tail,False,False,False
svcomp_recHanoi02_true-unreach-call_true-termination_modified.c,,,Terminate,0.21,Failed,0.441465378,Unknown,2.02,Failed,2.15,Failed,0.43,Failed,0.42,Terminate,Terminate,Terminate,Failed,Terminate,4.0,Unknown,,0,0,0,False,False,True,False,True,37,C,recur,non-tail,False,False,False
ex2.c,,,Failed,300.02,Failed,0.443924665,Unknown,1.72,Failed,2.04,Failed,0.42,Failed,0.43,Terminate,Terminate,Terminate,Failed,Terminate,6.26,Unknown,,0,0,0,False,False,True,False,False,20,C,recur,non-tail,False,False,False
Ackermann_true-termination.c,,,Terminate,0.32,Failed,0.444999218,Unknown,2.16,Failed,2.26,Failed,0.42,Failed,0.41,Terminate,timeout,Terminate,Failed,TIMEOUT,300.05,Unknown,,0,0,0,False,False,True,False,False,23,C,recur,non-tail,False,False,False
