file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type
AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,failed,Failed,Terminate,0.25,Terminate,9.721589327,Terminate,4.06,Terminate,5.62,Terminate,2.07,Terminate,2.36,Terminate,Terminate,Terminate,Terminate,Terminate,4.69,Terminate,Linear,1,1,2,False,False,True,False,True,28,C,loop,
svcomp_Toulouse-BranchesToLoop_true-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.470495701,Unknown,6.42,Unknown,7.13,Unknown,3.83,Nonterminate,1.67,Terminate,Terminate,Terminate,Terminate,Terminate,4.46,Unknown,Linear,1,1,2,False,False,True,False,True,21,C,loop,
nondet_ll_traverse_rec.c,,,Terminate,0.46,Failed,0.477694273,Unknown,2.44,Unknown,2.68,Unknown,1.23,Unknown,1.36,Terminate,timeout,Terminate,Failed,Unknown,17.3,Unknown,,0,0,0,False,False,True,False,True,30,C,recur,non-tail
svcomp_b.07-alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.471010923,Unknown,5.08,Unknown,5.04,Unknown,2.65,Unknown,288.41,Terminate,Terminate,Terminate,Terminate,Terminate,4.36,Unknown,Linear,1,1,2,False,False,True,False,True,25,C,loop,
svcomp_b.04-alloca.c,Terminate,TERMINATE,Failed,0.24,Failed,0.474460125,Unknown,3.8,Unknown,3.6,Unknown,1.99,Unknown,291.27,Terminate,Terminate,Terminate,Terminate,Terminate,3.99,Terminate,Linear,1,1,2,False,False,True,False,True,23,C,loop,
LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c,,,Terminate,0.31,Failed,0.445439577,Unknown,2.15,Failed,2.14,Unknown,1.14,Unknown,1.21,Terminate,Terminate,Terminate,Terminate,Terminate,5.62,Unknown,,0,0,0,False,False,True,False,True,40,C,recur,tail
svcomp_b.03_assume.c,Unknown,Unknown,Unknown,0.25,Terminate,1.604349852,Unknown,2.53,Unknown,2.65,Unknown,1.39,Unknown,297.21,Terminate,Terminate,Terminate,Terminate,Terminate,3.76,Unknown,Linear,1,1,2,False,False,True,False,False,22,C,loop,
Masse-VMCAI2014-Fig1a_true-termination.c,failed,Failed,Terminate,0.41,Terminate,2.27529192,Unknown,2.45,Unknown,2.88,Unknown,1.54,Unknown,294.08,Terminate,Terminate,Terminate,Terminate,Terminate,4.67,Unknown,Linear,1,1,1,False,False,True,False,False,26,C,loop,
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,Unknown,Unknown,Terminate,0.12,Unknown,4.329362631,Unknown,2.83,Unknown,3.12,Unknown,1.55,Unknown,296.63,Terminate,Terminate,Terminate,Terminate,Terminate,3.86,Unknown,Linear,1,1,1,False,False,True,False,True,21,C,loop,
Bangalore_true-termination.c,Unknown,Unknown,Terminate,0.14,Terminate,0.985501289,Terminate,2.67,Terminate,3.04,Terminate,1.48,Terminate,1.53,Terminate,Terminate,Terminate,Terminate,Terminate,3.79,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,
